Time Relative (sec),Pressure_(mBar),Raw_Signal_Amps,mz,True_Concentration_ppm,Primary_Gas
97.686,1.475592489e-05,1.340678457e-09,16,100,Methane
97.923,1.477141177e-05,1.345539236e-09,16,100,Methane
98.159,1.470106417e-05,1.332136401e-09,16,100,Methane
98.396,1.469176823e-05,1.328448684e-09,16,100,Methane
98.633,1.465589867e-05,1.328322341e-09,16,100,Methane
98.87,1.471108499e-05,1.334959587e-09,16,100,Methane
99.107,1.473202792e-05,1.320411225e-09,16,100,Methane
99.343,1.486342808e-05,1.347764123e-09,16,100,Methane
99.58,1.471185078e-05,1.35333611e-09,16,100,Methane
99.817,1.473491375e-05,1.347867262e-09,16,100,Methane
100.054,1.487118971e-05,1.338459121e-09,16,100,Methane
100.291,1.470831285e-05,1.341505018e-09,16,100,Methane
100.527,1.483548203e-05,1.338484767e-09,16,100,Methane
100.764,1.469383005e-05,1.343684164e-09,16,100,Methane
101.001,1.470150164e-05,1.337782662e-09,16,100,Methane
101.238,1.472551685e-05,1.331622257e-09,16,100,Methane
101.475,1.47737328e-05,1.334810262e-09,16,100,Methane
101.711,1.456276186e-05,1.329463761e-09,16,100,Methane
101.948,1.464945944e-05,1.328347543e-09,16,100,Methane
102.185,1.475352929e-05,1.343027245e-09,16,100,Methane
102.422,1.468420305e-05,1.332824295e-09,16,100,Methane
102.659,1.471455471e-05,1.32500988e-09,16,100,Methane
102.895,1.470769075e-05,1.337557287e-09,16,100,Methane
103.132,1.470057668e-05,1.335994204e-09,16,100,Methane
103.369,1.473723023e-05,1.331101118e-09,16,100,Methane
103.606,1.472660824e-05,1.319656495e-09,16,100,Methane
103.843,1.472653184e-05,1.328273047e-09,16,100,Methane
104.079,1.471778069e-05,1.338642752e-09,16,100,Methane
104.316,1.469160634e-05,1.340801248e-09,16,100,Methane
104.553,1.467397215e-05,1.321328269e-09,16,100,Methane
104.79,1.470484676e-05,1.333592126e-09,16,100,Methane
105.027,1.46962966e-05,1.337391309e-09,16,100,Methane
105.263,1.485386929e-05,1.338823719e-09,16,100,Methane
105.5,1.477816477e-05,1.321103116e-09,16,100,Methane
105.737,1.468792743e-05,1.324580001e-09,16,100,Methane
105.974,1.469879408e-05,1.313214093e-09,16,100,Methane
106.211,1.472846452e-05,1.328825938e-09,16,100,Methane
106.447,1.469559538e-05,1.323163357e-09,16,100,Methane
106.684,1.467286256e-05,1.318958054e-09,16,100,Methane
106.921,1.475530098e-05,1.322428167e-09,16,100,Methane
107.158,1.469832841e-05,1.32936262e-09,16,100,Methane
107.395,1.472473286e-05,1.331347477e-09,16,100,Methane
107.631,1.472626082e-05,1.326485699e-09,16,100,Methane
107.868,1.47288647e-05,1.322532417e-09,16,100,Methane
108.105,1.476802299e-05,1.348808953e-09,16,100,Methane
108.342,1.469304334e-05,1.341263545e-09,16,100,Methane
108.579,1.485001212e-05,1.332528532e-09,16,100,Methane
108.815,1.454195171e-05,1.325581089e-09,16,100,Methane
